Step,x-coordinate,y-coordinate,Actions
550, 16, 54, F
551, 17, 54, LF
552, 17, 55, LF
553, 16, 55, F
554, 15, 55, F
555, 14, 55, F
556, 13, 55, F
557, 12, 55, LF
558, 12, 54, F
559, 12, 53, F
560, 12, 52, RF
561, 11, 52, RRF
562, 12, 52, LF
563, 12, 53, LF
564, 11, 53, RRF
565, 12, 53, LF
566, 12, 54, F
567, 12, 55, LF
568, 11, 55, LF
569, 11, 54, RF
570, 10, 54, LF
571, 10, 53, F
572, 10, 52, RRF
573, 10, 53, F
574, 10, 54, RF
575, 11, 54, LF
576, 11, 55, LF
577, 10, 55, F
578, 9, 55, LF
579, 9, 54, RF
580, 8, 54, LF
581, 8, 53, F
582, 8, 52, RRF
583, 8, 53, LF
584, 7, 53, LF
585, 7, 52, RF
586, 6, 52, LF
587, 6, 51, LF
588, 7, 51, F
589, 8, 51, F
590, 9, 51, LF
591, 9, 52, F
592, 9, 53, RRF
593, 9, 52, F
594, 9, 51, F
595, 9, 50, LF
596, 10, 50, F
597, 11, 50, LF
598, 11, 51, LF
599, 10, 51, RRF
600, 11, 51, F
601, 12, 51, F
602, 13, 51, LF
603, 13, 52, RF
604, 14, 52, RF
605, 14, 51, F
606, 14, 50, RRF
607, 14, 51, F
608, 14, 52, LF
609, 13, 52, LF
610, 13, 51, F
611, 13, 50, F
612, 13, 49, F
613, 13, 48, F
614, 13, 47, F
615, 13, 46, F
616, 13, 45, LF
617, 14, 45, RRF
618, 13, 45, LF
619, 13, 44, LF
620, 14, 44, RRF
621, 13, 44, RF
622, 13, 45, F
623, 13, 46, F
624, 13, 47, F
625, 13, 48, F
626, 13, 49, LF
627, 12, 49, LF
628, 12, 48, RRF
629, 12, 49, RF
630, 13, 49, LF
631, 13, 50, F
632, 13, 51, LF
633, 12, 51, LF
634, 12, 50, RRF
635, 12, 51, LF
636, 11, 51, LF
637, 11, 50, F
638, 11, 49, RRF
639, 11, 50, LF
640, 10, 50, LF
641, 10, 49, F
642, 10, 48, LF
643, 11, 48, RRF
644, 10, 48, LF
645, 10, 47, LF
646, 11, 47, F
647, 12, 47, RF
648, 12, 46, F
649, 12, 45, RF
650, 11, 45, F
651, 10, 45, F
652, 9, 45, F
653, 8, 45, RF
654, 8, 46, RF
655, 9, 46, RRF
656, 8, 46, LF
657, 8, 45, LF
658, 9, 45, F
659, 10, 45, F
660, 11, 45, LF
661, 11, 46, RRF
662, 11, 45, LF
663, 12, 45, LF
664, 12, 46, F
665, 12, 47, LF
666, 11, 47, F
667, 10, 47, LF
668, 10, 46, RRF
669, 10, 47, F
670, 10, 48, LF
671, 9, 48, LF
672, 9, 47, RF
673, 8, 47, RRF
674, 9, 47, LF
675, 9, 48, LF
676, 8, 48, F
677, 7, 48, F
678, 6, 48, LF
679, 6, 47, F
680, 6, 46, LF
681, 7, 46, LF
682, 7, 47, RRF
683, 7, 46, RF
684, 6, 46, LF
685, 6, 45, F
686, 6, 44, LF
687, 7, 44, LF
688, 7, 45, RRF
689, 7, 44, F
690, 7, 43, LF
691, 8, 43, LF
692, 8, 44, RRF
693, 8, 43, LF
694, 9, 43, LF
695, 9, 44, RRF
696, 9, 43, LF
697, 10, 43, F
698, 11, 43, F
699, 12, 43, LF
700, 12, 44, LF
701, 11, 44, F
702, 10, 44, RRF
703, 11, 44, F
704, 12, 44, RF
705, 12, 43, RF
706, 11, 43, F
707, 10, 43, LF
708, 10, 42, F
709, 10, 41, F
710, 10, 40, LF
711, 11, 40, F
712, 12, 40, LF
713, 12, 41, LF
714, 11, 41, RRF
715, 12, 41, LF
716, 12, 42, LF
717, 11, 42, RRF
718, 12, 42, F
719, 13, 42, LF
720, 13, 43, RF
721, 14, 43, RF
722, 14, 42, RRF
723, 14, 43, LF
724, 13, 43, LF
725, 13, 42, F
726, 13, 41, RRF
727, 13, 42, LF
728, 12, 42, LF
729, 12, 41, F
730, 12, 40, RF
731, 11, 40, F
732, 10, 40, RF
733, 10, 41, F
734, 10, 42, F
735, 10, 43, LF
736, 9, 43, F
737, 8, 43, LF
738, 8, 42, LF
739, 9, 42, RRF
740, 8, 42, LF
741, 8, 41, LF
742, 9, 41, RRF
743, 8, 41, LF
744, 8, 40, LF
745, 9, 40, RF
746, 9, 39, F
747, 9, 38, F
748, 9, 37, RRF
749, 9, 38, F
750, 9, 39, LF
751, 8, 39, F
752, 7, 39, LF
753, 7, 38, LF
754, 8, 38, RF
755, 8, 37, F
756, 8, 36, LF
757, 9, 36, RRF
758, 8, 36, F
759, 7, 36, LF
760, 7, 35, RRF
761, 7, 36, LF
762, 6, 36, RRF
763, 7, 36, F
764, 8, 36, LF
765, 8, 37, F
766, 8, 38, LF
767, 7, 38, F
768, 6, 38, LF
769, 6, 37, LF
770, 7, 37, RRF
771, 6, 37, F
772, 5, 37, LF
773, 5, 36, F
774, 5, 35, LF
775, 6, 35, RF
776, 6, 34, F
777, 6, 33, F
778, 6, 32, LF
779, 7, 32, LF
780, 7, 33, F
781, 7, 34, RF
782, 8, 34, RF
783, 8, 33, LF
784, 9, 33, LF
785, 9, 34, RRF
786, 9, 33, F
787, 9, 32, RF
788, 8, 32, RRF
789, 9, 32, LF
790, 9, 33, LF
791, 8, 33, RF
792, 8, 34, LF
793, 7, 34, LF
794, 7, 33, F
795, 7, 32, F
796, 7, 31, LF
797, 8, 31, RRF
798, 7, 31, LF
799, 7, 30, F
800, 7, 29, LF
801, 8, 29, F
802, 9, 29, LF
803, 9, 30, LF
804, 8, 30, RRF
805, 9, 30, LF
806, 9, 31, RF
807, 10, 31, LF
808, 10, 32, F
809, 10, 33, F
810, 10, 34, RRF
811, 10, 33, F
812, 10, 32, F
813, 10, 31, RF
814, 9, 31, LF
815, 9, 30, LF
816, 10, 30, RF
817, 10, 29, RRF
818, 10, 30, LF
819, 9, 30, LF
820, 9, 29, F
821, 9, 28, RRF
822, 9, 29, LF
823, 8, 29, F
824, 7, 29, LF
